Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity ,Total Forecast ,Total Measured & Upscaled ,Monitored Capacity
260350,178632.4,930650,166910,149488.5,338450,93440,29143.9,592200
262830,176457.9,930650,167540,148617.6,338450,95290,27840.3,592200
265390,180155,930650,168220,153415.1,338450,97170,26739.9,592200
267910,187204,930650,168880,156407.2,338450,99030,30796.8,592200
270450,181069.8,930650,169540,150313.3,338450,100910,30756.5,592200
273220,174892,930650,170330,145988.3,338450,102890,28903.7,592200
275930,174926.5,930650,171090,146941.6,338450,104840,27984.9,592200
278680,179011,930650,171890,149818,338450,106790,29193,592200
281510,184026.6,930650,172680,155443.1,338450,108830,28583.5,592200
282960,194414.9,930650,173010,162762.9,338450,109950,31652,592200
284410,201563.6,930650,173370,169668.4,338450,111040,31895.2,592200
285880,207961.4,930650,173720,175568.8,338450,112160,32392.6,592200
287320,207801,930650,174050,176825,338450,113270,30976,592200
288480,211571.6,930650,174200,178684.7,338450,114280,32886.9,592200
289650,214580.4,930650,174340,181446,338450,115310,33134.4,592200
290820,204880.8,930650,174490,172142.1,338450,116330,32738.7,592200
291990,199946.2,930650,174640,169200.5,338450,117350,30745.7,592200
293060,201566.4,930650,174620,173452.5,338450,118440,28113.9,592200
294110,196214.3,930650,174610,166997,338450,119500,29217.3,592200
295180,200356.9,930650,174610,171928.5,338450,120570,28428.4,592200
296300,201325.8,930650,174590,172715.3,338450,121710,28610.5,592200
298870,199837.6,930650,174850,169422.9,338450,124020,30414.7,592200
301430,195969.7,930650,175110,168730.2,338450,126320,27239.5,592200
304030,199268.7,930650,175360,169455,338450,128670,29813.7,592200
306630,200606.8,930650,175630,170735,338450,131000,29871.8,592200
309620,198697,930650,176300,168557.2,338450,133320,30139.8,592200
312590,176300.7,930650,176990,148355.8,338450,135600,27944.9,592200
315550,171263.8,930650,177650,145906.3,338450,137900,25357.5,592200
318530,178804.2,930650,178360,149117,338450,140170,29687.2,592200
321040,161978.5,930650,178400,132800.7,338450,142640,29177.8,592200
323610,158671,930650,178440,130316.1,338450,145170,28354.9,592200
326170,162233.3,930650,178470,131280.5,338450,147700,30952.8,592200
328710,373867.8,930650,178550,183887.9,338450,150160,189979.9,592200
325720,373806.3,930650,178220,190056.4,338450,147500,183749.9,592200
322720,184351.8,930650,177920,154931.1,338450,144800,29420.7,592200
319810,162513.4,930650,177620,134312.2,338450,142190,28201.2,592200
316860,154289,930650,177340,127036.7,338450,139520,27252.3,592200
313780,150069.5,930650,177330,126391.2,338450,136450,23678.3,592200
310660,262366.8,930650,177300,161316.8,338450,133360,101050,592200
307520,148391.1,930650,177300,124664.5,338450,130220,23726.6,592200
304440,135001.6,930650,177300,112665.4,338450,127140,22336.2,592200
296050,189493.8,930650,176190,109229.4,338450,119860,80264.4,592200
287640,169684.2,930650,175080,100035,338450,112560,69649.2,592200
279200,169010.9,930650,173970,100514.8,338450,105230,68496.1,592200
270830,179850.8,930650,172890,109528.3,338450,97940,70322.5,592200
275510,192767.6,930650,174590,112287.3,338450,100920,80480.3,592200
280210,217541.2,930650,176300,124650,338450,103910,92891.2,592200
284910,241572,930650,178010,140262.6,338450,106900,101309.4,592200
289650,236259.2,930650,179710,148854.1,338450,109940,87405.1,592200
294460,235356,930650,180740,149268.3,338450,113720,86087.7,592200
299220,286554.2,930650,181750,171300.8,338450,117470,115253.4,592200
304030,307830.5,930650,182770,179859.2,338450,121260,127971.3,592200
308800,313340.9,930650,183760,184572.2,338450,125040,128768.7,592200
