year,month,day,hour,min,Vertical load [kW],index
2012,10,1,0,0,8092629,1
2012,10,1,0,15,8070353,2
2012,10,1,0,30,7828137,3
2012,10,1,0,45,7771451,4
2012,10,1,1,0,7626987,5
2012,10,1,1,15,7597305,6
2012,10,1,1,30,7382763,7
2012,10,1,1,45,7349345,8
2012,10,1,2,0,7363406,9
2012,10,1,2,15,7257570,10
2012,10,1,2,30,7174641,11
2012,10,1,2,45,7125667,12
2012,10,1,3,0,7172509,13
2012,10,1,3,15,7116572,14
2012,10,1,3,30,7092929,15
2012,10,1,3,45,7210212,16
2012,10,1,4,0,7209444,17
2012,10,1,4,15,7037128,18
2012,10,1,4,30,7154197,19
2012,10,1,4,45,7360452,20
2012,10,1,5,0,7467459,21
2012,10,1,5,15,7571550,22
2012,10,1,5,30,7568661,23
2012,10,1,5,45,7939767,24
2012,10,1,6,0,8082212,25
2012,10,1,6,15,8438960,26
2012,10,1,6,30,8864640,27
2012,10,1,6,45,9249847,28
2012,10,1,7,0,9410696,29
2012,10,1,7,15,9542400,30
2012,10,1,7,30,9998294,31
2012,10,1,7,45,10011266,32
2012,10,1,8,0,9956280,33
2012,10,1,8,15,9886510,34
2012,10,1,8,30,9930645,35
2012,10,1,8,45,9866184,36
2012,10,1,9,0,9882578,37
2012,10,1,9,15,9902147,38
2012,10,1,9,30,9885033,39
2012,10,1,9,45,9909326,40
2012,10,1,10,0,9810729,41
2012,10,1,10,15,9842068,42
2012,10,1,10,30,9727564,43
2012,10,1,10,45,9691762,44
2012,10,1,11,0,9502055,45
2012,10,1,11,15,9452393,46
2012,10,1,11,30,9466769,47
2012,10,1,11,45,9465035,48
2012,10,1,12,0,9370383,49
2012,10,1,12,15,9197829,50
2012,10,1,12,30,8931427,51
2012,10,1,12,45,8864765,52
2012,10,1,13,0,8903288,53
2012,10,1,13,15,8941921,54
2012,10,1,13,30,8885993,55
2012,10,1,13,45,8937217,56
2012,10,1,14,0,8882637,57
2012,10,1,14,15,8927804,58
2012,10,1,14,30,8994691,59
2012,10,1,14,45,9108656,60
2012,10,1,15,0,9194233,61
