Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity
637530.0,780100.0,1487200.0,260190.0,374530.0,665950.0,377340.0,405570.0,821250.0
629690.0,781090.0,1487200.0,264260.0,379650.0,665950.0,365430.0,401450.0,821250.0
621870.0,793820.0,1487200.0,268330.0,392760.0,665950.0,353540.0,401060.0,821250.0
614060.0,824230.0,1487200.0,272440.0,435710.0,665950.0,341620.0,388520.0,821250.0
606280.0,818430.0,1487200.0,276550.0,440100.0,665950.0,329730.0,378330.0,821250.0
622130.0,772980.0,1487200.0,290960.0,415800.0,665950.0,331170.0,357180.0,821250.0
637930.0,730920.0,1487200.0,305390.0,376640.0,665950.0,332540.0,354280.0,821250.0
653790.0,752760.0,1487200.0,319840.0,391710.0,665950.0,333950.0,361050.0,821250.0
669680.0,802970.0,1487200.0,334260.0,447270.0,665950.0,335420.0,355700.0,821250.0
685480.0,841550.0,1487200.0,348680.0,487430.0,665950.0,336800.0,354120.0,821250.0
701370.0,854710.0,1487200.0,363100.0,497950.0,665950.0,338270.0,356770.0,821250.0
717170.0,810570.0,1487200.0,377530.0,480020.0,665950.0,339640.0,330550.0,821250.0
732950.0,797480.0,1487200.0,391950.0,469430.0,665950.0,341000.0,328060.0,821250.0
748920.0,776570.0,1487200.0,406400.0,454780.0,665950.0,342520.0,321790.0,821250.0
764710.0,808030.0,1487200.0,420810.0,467030.0,665950.0,343900.0,341000.0,821250.0
780610.0,867240.0,1487200.0,435260.0,507110.0,665950.0,345350.0,360140.0,821250.0
796470.0,866160.0,1487200.0,449670.0,504360.0,665950.0,346800.0,361800.0,821250.0
813560.0,889790.0,1487200.0,457230.0,500810.0,665950.0,356330.0,388980.0,821250.0
830650.0,928970.0,1487200.0,464730.0,514060.0,665950.0,365920.0,414910.0,821250.0
847810.0,967400.0,1487200.0,472270.0,537730.0,665950.0,375540.0,429680.0,821250.0
864900.0,983150.0,1487200.0,479820.0,555710.0,665950.0,385080.0,427440.0,821250.0
882010.0,979260.0,1487200.0,487340.0,553760.0,665950.0,394670.0,425500.0,821250.0
899160.0,983900.0,1487200.0,494870.0,549840.0,665950.0,404290.0,434060.0,821250.0
916260.0,998190.0,1487200.0,502400.0,546880.0,665950.0,413860.0,451310.0,821250.0
933430.0,1021110.0,1487200.0,509950.0,559620.0,665950.0,423480.0,461490.0,821250.0
950480.0,1040230.0,1487200.0,517460.0,560240.0,665950.0,433020.0,479990.0,821250.0
967630.0,1073710.0,1487200.0,525010.0,566240.0,665950.0,442620.0,507470.0,821250.0
984760.0,1074670.0,1487200.0,532540.0,562470.0,665950.0,452220.0,512200.0,821250.0
1001830.0,1083390.0,1487200.0,540080.0,566260.0,665950.0,461750.0,517130.0,821250.0
1004920.0,1076780.0,1487200.0,540140.0,562950.0,665950.0,464780.0,513830.0,821250.0
1008050.0,1093070.0,1487200.0,540230.0,568650.0,665950.0,467820.0,524430.0,821250.0
