Day,Month,Year,Power exchange 
1,1,2014,-340753
1,1,2014,-321049
1,1,2014,-286118
1,1,2014,-231025
1,1,2014,-199191
1,1,2014,-154432
1,1,2014,-85895
1,1,2014,-64937
1,1,2014,-42501
1,1,2014,54156
1,1,2014,55027
1,1,2014,56502
1,1,2014,-441513
1,1,2014,-535479
1,1,2014,-438650
1,1,2014,-351476
1,1,2014,-537408
1,1,2014,-632255
1,1,2014,-548408
1,1,2014,-566150
1,1,2014,-697793
1,1,2014,-662917
1,1,2014,-741643
1,1,2014,-766110
1,1,2014,-678513
1,1,2014,-620126
1,1,2014,-546106
1,1,2014,-541200
1,1,2014,-212833
1,1,2014,-206986
1,1,2014,-327105
1,1,2014,-271446
1,1,2014,73150
1,1,2014,192646
1,1,2014,270913
1,1,2014,184350
1,1,2014,-122349
1,1,2014,-171949
1,1,2014,-242678
1,1,2014,-188680
1,1,2014,22869
1,1,2014,-147615
1,1,2014,-182812
1,1,2014,-134319
1,1,2014,-137691
1,1,2014,-173880
1,1,2014,-114652
1,1,2014,-87699
1,1,2014,-202999
1,1,2014,-186779
1,1,2014,-119062
1,1,2014,-165957
1,1,2014,-277186
1,1,2014,-329316
1,1,2014,-375487
1,1,2014,-459549
1,1,2014,-585367
1,1,2014,-607268
1,1,2014,-664647
1,1,2014,-710266
1,1,2014,-718014
1,1,2014,-730920
1,1,2014,-791639
1,1,2014,-805018
1,1,2014,-707157
1,1,2014,-843770
1,1,2014,-810832
1,1,2014,-854600
1,1,2014,-670679
1,1,2014,-895774
1,1,2014,-883718
1,1,2014,-821859
1,1,2014,-446297
1,1,2014,-354377
1,1,2014,-353185
1,1,2014,-362072
1,1,2014,-549165
1,1,2014,-415606
1,1,2014,-444732
1,1,2014,-468327
1,1,2014,-590910
1,1,2014,-512410
1,1,2014,-466570
1,1,2014,-443690
1,1,2014,-363434
1,1,2014,-329706
1,1,2014,-301066
1,1,2014,-294515
1,1,2014,-357998
1,1,2014,-225492
1,1,2014,-110532
1,1,2014,-83895
1,1,2014,-11868
1,1,2014,163197
1,1,2014,283157
1,1,2014,310884
2,1,2014,207562
2,1,2014,383684
2,1,2014,343130
2,1,2014,322216
2,1,2014,311966
2,1,2014,405635
2,1,2014,440747
2,1,2014,467569
2,1,2014,379980
2,1,2014,403237
2,1,2014,464550
2,1,2014,448409
2,1,2014,440342
2,1,2014,441791
2,1,2014,449259
2,1,2014,474704
2,1,2014,495818
2,1,2014,478736
2,1,2014,457968
2,1,2014,430173
2,1,2014,913947
2,1,2014,892509
2,1,2014,877771
2,1,2014,927691
2,1,2014,696607
2,1,2014,475598
2,1,2014,408861
2,1,2014,300382
2,1,2014,11216
2,1,2014,-277444
2,1,2014,-262146
2,1,2014,-252435
2,1,2014,-229061
2,1,2014,-275922
2,1,2014,-162653
2,1,2014,-137701
2,1,2014,-149909
2,1,2014,24183
2,1,2014,-62819
2,1,2014,-51864
2,1,2014,-169808
2,1,2014,-116779
2,1,2014,-129087
2,1,2014,-156367
2,1,2014,-220363
2,1,2014,-329377
2,1,2014,-382959
2,1,2014,-385278
2,1,2014,-331346
2,1,2014,-270206
2,1,2014,-252865
2,1,2014,-355486
2,1,2014,-523408
2,1,2014,-558852
2,1,2014,-590055
2,1,2014,-588453
2,1,2014,-633387
2,1,2014,-659878
2,1,2014,-697633
2,1,2014,-647669
2,1,2014,-915164
2,1,2014,-1136761
2,1,2014,-1112459
2,1,2014,-1095859
2,1,2014,-998113
2,1,2014,-1054746
2,1,2014,-1090271
2,1,2014,-1074872
2,1,2014,-589411
2,1,2014,-586140
2,1,2014,-572883
2,1,2014,-357765
2,1,2014,-273776
2,1,2014,-212557
2,1,2014,-278513
2,1,2014,-253466
2,1,2014,-614750
2,1,2014,-411675
2,1,2014,-505087
2,1,2014,-535352
2,1,2014,-465015
2,1,2014,-515052
2,1,2014,-535773
2,1,2014,-718489
2,1,2014,-851193
2,1,2014,-968706
2,1,2014,-962961
2,1,2014,-979770
2,1,2014,-1118183
2,1,2014,-1016898
2,1,2014,-910094
2,1,2014,-823680
2,1,2014,-1132108
2,1,2014,-941605
2,1,2014,-828786
2,1,2014,-820932
3,1,2014,-1042559
