year,month,day,hour,min,Vertical load [kW],index
2014,1,1,0,0,9778740,1
2014,1,1,0,15,9655320,2
2014,1,1,0,30,9525780,3
2014,1,1,0,45,9364620,4
2014,1,1,1,0,9275880,5
2014,1,1,1,15,9085140,6
2014,1,1,1,30,8980080,7
2014,1,1,1,45,8825040,8
2014,1,1,2,0,8726100,9
2014,1,1,2,15,8604720,10
2014,1,1,2,30,8493540,11
2014,1,1,2,45,8361960,12
2014,1,1,3,0,8255880,13
2014,1,1,3,15,8150820,14
2014,1,1,3,30,8091660,15
2014,1,1,3,45,8046780,16
2014,1,1,4,0,8015160,17
2014,1,1,4,15,7980480,18
2014,1,1,4,30,7952940,19
2014,1,1,4,45,7931520,20
2014,1,1,5,0,7926420,21
2014,1,1,5,15,7912140,22
2014,1,1,5,30,7942740,23
2014,1,1,5,45,7914180,24
2014,1,1,6,0,7964160,25
2014,1,1,6,15,7970280,26
2014,1,1,6,30,7994760,27
2014,1,1,6,45,7945800,28
2014,1,1,7,0,7777500,29
2014,1,1,7,15,7722420,30
2014,1,1,7,30,7743840,31
2014,1,1,7,45,7759140,32
2014,1,1,8,0,7827480,33
2014,1,1,8,15,7850940,34
2014,1,1,8,30,7767300,35
2014,1,1,8,45,7717320,36
2014,1,1,9,0,7780560,37
2014,1,1,9,15,7839720,38
2014,1,1,9,30,7930500,39
2014,1,1,9,45,8026380,40
2014,1,1,10,0,8154900,41
2014,1,1,10,15,8247720,42
2014,1,1,10,30,8315040,43
2014,1,1,10,45,8416020,44
2014,1,1,11,0,8500680,45
2014,1,1,11,15,8568000,46
2014,1,1,11,30,8673060,47
2014,1,1,11,45,8745480,48
2014,1,1,12,0,8814840,49
2014,1,1,12,15,8865840,50
2014,1,1,12,30,8917860,51
2014,1,1,12,45,8931120,52
2014,1,1,13,0,8904600,53
2014,1,1,13,15,8876040,54
2014,1,1,13,30,8880120,55
2014,1,1,13,45,8854620,56
2014,1,1,14,0,8854620,57
2014,1,1,14,15,8759760,58
2014,1,1,14,30,8763840,59
2014,1,1,14,45,8753640,60
2014,1,1,15,0,8751600,61
2014,1,1,15,15,8743440,62
2014,1,1,15,30,8751600,63
2014,1,1,15,45,8777100,64
2014,1,1,16,0,8775060,65
2014,1,1,16,15,8812800,66
2014,1,1,16,30,8854620,67
2014,1,1,16,45,9085140,68
2014,1,1,17,0,9295260,69
2014,1,1,17,15,9437040,70
2014,1,1,17,30,9569640,71
2014,1,1,17,45,9601260,72
2014,1,1,18,0,9670620,73
2014,1,1,18,15,9682860,74
2014,1,1,18,30,9709380,75
2014,1,1,18,45,9667560,76
2014,1,1,19,0,9608400,77
2014,1,1,19,15,9543120,78
2014,1,1,19,30,9541080,79
2014,1,1,19,45,9516600,80
2014,1,1,20,0,9427860,81
2014,1,1,20,15,9338100,82
2014,1,1,20,30,9277920,83
2014,1,1,20,45,9207540,84
2014,1,1,21,0,9161640,85
2014,1,1,21,15,9100440,86
2014,1,1,21,30,9038220,87
2014,1,1,21,45,9038220,88
2014,1,1,22,0,9320760,89
2014,1,1,22,15,9518640,90
2014,1,1,22,30,9601260,91
2014,1,1,22,45,9588000,92
2014,1,1,23,0,9783840,93
2014,1,1,23,15,9662460,94
2014,1,1,23,30,9476820,95
2014,1,1,23,45,9279960,96
2014,1,2,0,0,9101460,97
2014,1,2,0,15,8900520,98
2014,1,2,0,30,8717940,99
2014,1,2,0,45,8602680,100
2014,1,2,1,0,8543520,101
2014,1,2,1,15,8352780,102
2014,1,2,1,30,8276280,103
2014,1,2,1,45,8150820,104
2014,1,2,2,0,8063100,105
2014,1,2,2,15,8022300,106
2014,1,2,2,30,7942740,107
2014,1,2,2,45,7872360,108
2014,1,2,3,0,7824420,109
2014,1,2,3,15,7768320,110
2014,1,2,3,30,7752000,111
2014,1,2,3,45,7709160,112
2014,1,2,4,0,7765260,113
2014,1,2,4,15,7816260,114
2014,1,2,4,30,7840740,115
2014,1,2,4,45,7921320,116
2014,1,2,5,0,8070240,117
2014,1,2,5,15,8191620,118
2014,1,2,5,30,8315040,119
2014,1,2,5,45,8501700,120
2014,1,2,6,0,8853600,121
2014,1,2,6,15,8944380,122
2014,1,2,6,30,9098400,123
2014,1,2,6,45,9278940,124
2014,1,2,7,0,9371760,125
2014,1,2,7,15,9524760,126
2014,1,2,7,30,9693060,127
2014,1,2,7,45,9963360,128
2014,1,2,8,0,10131660,129
2014,1,2,8,15,10343820,130
2014,1,2,8,30,10446840,131
2014,1,2,8,45,10477440,132
2014,1,2,9,0,10680420,133
2014,1,2,9,15,10705920,134
2014,1,2,9,30,10867080,135
2014,1,2,9,45,10976220,136
2014,1,2,10,0,10954800,137
2014,1,2,10,15,11039460,138
2014,1,2,10,30,11010900,139
2014,1,2,10,45,11041500,140
2014,1,2,11,0,11114940,141
2014,1,2,11,15,11138400,142
2014,1,2,11,30,11130240,143
2014,1,2,11,45,11178180,144
2014,1,2,12,0,11141460,145
2014,1,2,12,15,11178180,146
2014,1,2,12,30,11158800,147
2014,1,2,12,45,11143500,148
2014,1,2,13,0,11175120,149
2014,1,2,13,15,11207760,150
2014,1,2,13,30,11199600,151
2014,1,2,13,45,11119020,152
2014,1,2,14,0,11074140,153
2014,1,2,14,15,11022120,154
2014,1,2,14,30,11081280,155
2014,1,2,14,45,11040480,156
2014,1,2,15,0,11080260,157
2014,1,2,15,15,11151660,158
2014,1,2,15,30,11106780,159
2014,1,2,15,45,11126160,160
2014,1,2,16,0,11203680,161
2014,1,2,16,15,11106780,162
2014,1,2,16,30,11164920,163
2014,1,2,16,45,11346480,164
2014,1,2,17,0,11682060,165
2014,1,2,17,15,11888100,166
2014,1,2,17,30,12175740,167
2014,1,2,17,45,12178800,168
2014,1,2,18,0,12144120,169
2014,1,2,18,15,12019680,170
2014,1,2,18,30,12087000,171
2014,1,2,18,45,11964600,172
2014,1,2,19,0,11835060,173
2014,1,2,19,15,11633100,174
2014,1,2,19,30,11559660,175
2014,1,2,19,45,11480100,176
2014,1,2,20,0,11255700,177
2014,1,2,20,15,11127180,178
2014,1,2,20,30,10922160,179
2014,1,2,20,45,10860960,180
2014,1,2,21,0,10671240,181
2014,1,2,21,15,10569240,182
2014,1,2,21,30,10467240,183
2014,1,2,21,45,10371360,184
2014,1,2,22,0,10573320,185
2014,1,2,22,15,10790580,186
2014,1,2,22,30,10965000,187
2014,1,2,22,45,10894620,188
2014,1,2,23,0,11063940,189
2014,1,2,23,15,10918080,190
2014,1,2,23,30,10676340,191
2014,1,2,23,45,10372380,192
2014,1,3,0,0,10334640,193
2014,1,3,0,15,10042920,194
2014,1,3,0,30,9904200,195
2014,1,3,0,45,9623700,196
2014,1,3,1,0,9507420,197
2014,1,3,1,15,9264660,198
2014,1,3,1,30,9209580,199
2014,1,3,1,45,9056580,200
2014,1,3,2,0,9051480,201
2014,1,3,2,15,9025980,202
2014,1,3,2,30,8923980,203
2014,1,3,2,45,8806680,204
2014,1,3,3,0,8718960,205
2014,1,3,3,15,8673060,206
2014,1,3,3,30,8719980,207
2014,1,3,3,45,8657760,208
2014,1,3,4,0,8620020,209
2014,1,3,4,15,8625120,210
2014,1,3,4,30,8780160,211
2014,1,3,4,45,8844420,212
2014,1,3,5,0,8925000,213
2014,1,3,5,15,9009660,214
2014,1,3,5,30,9114720,215
2014,1,3,5,45,9218760,216
2014,1,3,6,0,9538020,217
2014,1,3,6,15,9712440,218
2014,1,3,6,30,9913380,219
2014,1,3,6,45,10103100,220
2014,1,3,7,0,10074540,221
2014,1,3,7,15,10364220,222
2014,1,3,7,30,10567200,223
2014,1,3,7,45,10772220,224
2014,1,3,8,0,10863000,225
2014,1,3,8,15,11064960,226
2014,1,3,8,30,11152680,227
2014,1,3,8,45,11070060,228
2014,1,3,9,0,11234280,229
2014,1,3,9,15,11239380,230
2014,1,3,9,30,11276100,231
2014,1,3,9,45,11318940,232
2014,1,3,10,0,11279160,233
2014,1,3,10,15,11212860,234
2014,1,3,10,30,11247540,235
2014,1,3,10,45,11308740,236
2014,1,3,11,0,11280180,237
2014,1,3,11,15,11383200,238
2014,1,3,11,30,11373000,239
2014,1,3,11,45,11391360,240
2014,1,3,12,0,11490300,241
2014,1,3,12,15,11389320,242
2014,1,3,12,30,11443380,243
2014,1,3,12,45,11314860,244
2014,1,3,13,0,11284260,245
2014,1,3,13,15,11326080,246
2014,1,3,13,30,11208780,247
2014,1,3,13,45,11179200,248
2014,1,3,14,0,11077200,249
2014,1,3,14,15,11133300,250
2014,1,3,14,30,11102700,251
2014,1,3,14,45,10939500,252
2014,1,3,15,0,11020080,253
2014,1,3,15,15,11093520,254
2014,1,3,15,30,11053740,255
2014,1,3,15,45,11090460,256
2014,1,3,16,0,11163900,257
2014,1,3,16,15,11186340,258
2014,1,3,16,30,11317920,259
2014,1,3,16,45,11654520,260
2014,1,3,17,0,11911560,261
2014,1,3,17,15,11935020,262
2014,1,3,17,30,12129840,263
2014,1,3,17,45,12260400,264
2014,1,3,18,0,12260400,265
2014,1,3,18,15,12151260,266
