Day-Ahead forecast [MW],Intraday forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp]
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.410,0.460,0.530,0.030,2501.530
19.810,23.180,27.820,12.400,2501.530
51.970,53.540,50.500,41.640,2501.530
88.870,82.910,80.600,81.180,2501.530
122.500,112.550,115.710,120.890,2501.530
153.180,139.790,153.150,164.200,2501.530
178.590,165.140,189.000,201.010,2501.530
205.050,191.170,226.210,224.660,2501.530
236.200,216.440,249.360,246.920,2501.530
265.260,242.960,275.000,274.240,2501.530
289.620,261.230,293.740,307.320,2501.530
312.600,277.230,310.810,331.690,2501.530
317.550,266.430,322.280,348.320,2501.530
321.080,253.450,331.580,359.920,2501.530
323.410,242.310,316.010,381.920,2501.530
324.680,234.820,369.250,408.070,2501.530
303.750,231.080,359.490,423.660,2501.530
282.520,228.090,414.480,422.620,2501.530
261.300,227.620,416.520,407.270,2501.530
240.740,230.020,410.670,397.370,2501.530
221.970,214.370,375.850,367.120,2501.530
201.910,199.270,352.320,319.140,2501.530
181.400,187.300,325.950,242.040,2501.530
161.890,176.680,228.980,179.800,2501.530
135.460,143.180,186.970,138.080,2501.530
113.310,115.360,112.040,108.120,2501.530
93.650,89.660,87.310,92.240,2501.530
75.310,67.530,68.900,71.420,2501.530
61.560,53.680,58.710,48.390,2501.530
46.740,39.590,45.090,29.220,2501.530
29.780,24.700,22.530,13.080,2501.530
12.840,10.760,8.460,3.050,2501.530
0.320,0.280,0.330,0.010,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
0.000,0.000,0.000,0.000,2501.530
