Total,Coal,Fuel,Gas,Nuclear,Water,Wind,Other
5792281,585400,0,1570193,2818400,32188,252810,533290
5768463,495000,0,1628665,2820800,19549,270858,533591
5721443,485000,0,1589938,2818800,19320,280410,527975
5719492,476000,0,1593038,2819800,19271,291522,519861
5673921,458800,0,1578774,2817800,19160,292132,507255
5563782,366800,0,1603563,2820200,19258,272161,481800
5513192,353800,0,1615344,2818400,19135,235875,470638
5520388,353800,0,1629007,2817200,19000,231442,469939
5513346,341800,0,1631999,2819200,18073,239772,462502
5493527,288000,0,1652784,2818800,18158,252080,463705
5445530,279000,0,1599285,2819200,17640,265081,465324
5427004,272000,0,1582216,2820200,17140,268577,466871
5444416,269600,0,1584820,2819800,17215,273156,479825
5492737,273000,0,1605165,2821800,17037,272828,502907
5485596,277800,0,1606465,2822600,17215,273428,488088
5541332,277400,0,1656154,2824600,17197,273547,492434
5644142,282000,0,1753183,2824600,17123,270945,496291
5544960,287000,0,1643441,2827400,17128,270427,499564
5565979,289200,0,1662681,2832400,17129,280669,483900
5605543,289600,0,1686995,2833800,16051,279297,499800
5628686,300400,0,1691301,2833800,15943,279536,507706
5735775,366600,0,1733087,2834800,15853,289772,495663
5808757,378800,0,1799736,2836200,15608,285538,492875
5861599,376400,0,1852506,2834800,15978,290437,491478
5970445,388200,0,1936163,2835400,16395,290888,503399
6079263,453000,0,1992324,2835200,16106,290369,492264
6336579,477200,0,2194722,2836800,15310,295285,517262
6648210,477000,0,2401792,2836400,149503,271869,511646
7015284,526800,0,2571813,2836000,297530,269107,514034
6793627,584200,0,2538635,2835400,35391,264275,535726
7077999,590200,0,2843472,2841200,47968,246316,508843
7218448,594200,0,2851973,2853600,218139,242653,457883
7149921,595800,0,2761850,2867600,217645,242732,464294
7145142,596200,0,2713055,2873400,228753,261108,472626
7222212,600600,0,2806204,2874800,209858,258396,472354
7250575,606800,0,2785174,2876800,249032,252997,479772
7164153,599200,0,2834635,2875800,162795,219803,471920
7435905,575600,0,2898722,2876400,387149,212115,485919
7493978,589400,0,2929962,2877000,404298,212112,481206
7500117,598200,0,2929707,2873000,408849,211128,479233
7489421,602000,0,2894630,2872000,426746,203210,490835
7210894,599600,0,2786566,2874400,252938,194795,502595
7164040,601200,0,2693616,2872600,309843,178698,508083
7202499,592400,0,2683697,2872000,415843,168007,470552
7091108,574600,0,2602691,2870600,448188,164577,430452
7026056,558400,0,2589570,2869000,386411,179897,442778
7025974,551400,0,2588221,2865600,371553,189114,460086
7011810,534600,0,2531219,2865600,387301,207360,485730
6934177,529000,0,2497714,2864000,355733,220491,467239
6917040,530800,0,2561334,2861600,225170,239103,499033
6822351,529600,0,2538235,2862400,129591,241543,520982
6742241,532200,0,2443366,2860000,124052,258462,524161
6802553,530200,0,2491613,2859600,126074,265996,529070
6733674,530400,0,2397698,2854400,140560,270498,540118
6688807,528200,0,2403752,2856200,129149,254532,516974
6726683,510200,0,2449173,2854200,148350,240114,524646
6673837,504600,0,2381524,2856000,140501,228385,562827
6618633,501400,0,2459664,2853200,56306,226601,521462
6616953,501200,0,2521559,2852200,11032,224059,506903
6712118,501400,0,2591988,2851600,10678,242155,514297
6799712,505600,0,2598974,2849200,11330,271207,563401
6734856,505800,0,2528158,2847600,12903,271197,569198
6740959,506200,0,2593056,2848400,11154,261067,521082
6775815,506600,0,2582926,2848000,11378,274657,552254
6821707,504000,0,2602088,2848400,11882,291812,563525
6735305,506600,0,2541432,2846600,11881,277602,551190
6911597,527600,0,2704951,2846400,12012,278530,542104
6917467,520800,0,2714032,2847800,11807,297841,525187
6947970,534000,0,2722115,2843800,11862,306327,529866
6933515,557200,0,2673373,2844200,11890,312384,534468
6977946,587000,0,2697382,2842800,11460,320282,519022
7058985,602200,0,2763866,2843800,11311,328808,509000
7251768,602400,0,2929645,2844400,19774,331034,524515
7585008,596200,0,2950179,2842800,326072,331442,538315
7631628,598000,0,2945071,2844400,369083,335424,539650
7650568,601600,0,2949213,2845800,389479,337939,526537
7684286,600600,0,2968154,2845000,386530,340186,543816
8020218,598200,0,2998685,2845000,667934,351243,559156
7996611,595400,0,2942696,2844000,739133,359222,516160
8101865,597600,0,2864931,2844600,917401,364683,512650
8131175,598600,0,2855294,2844200,968811,363323,500947
8121676,601800,0,2880500,2848400,928123,359195,503658
7930886,603800,0,2852374,2849200,740521,369327,515664
7869258,604600,0,2837598,2851600,696140,360636,518684
7623170,599800,0,2803485,2850600,498605,355159,515521
7106503,600800,0,2647794,2849800,131336,357866,518907
7086505,597800,0,2554080,2851000,177577,359473,546575
6942071,597000,0,2420983,2851400,163905,346785,561998
6810099,598000,0,2385689,2853400,76031,331359,565620
6710419,598400,0,2373036,2854000,33016,290018,561949
6697180,601600,0,2299742,2851600,141441,282943,519854
6756005,598800,0,2385460,2853000,138074,267931,512740
6717714,599200,0,2338294,2853600,110084,298961,517575
6761062,598400,0,2217876,2853800,276672,293981,520333
6580495,593400,0,2164610,2851200,161199,281134,528952
6371153,594800,0,2051528,2852800,48986,294620,528419
6328047,586200,0,2038992,2853800,14717,312466,521872
6201586,463800,0,2035028,2852400,12603,319987,517768
6165798,422200,0,2063473,2852800,11991,297151,518183
6076946,426000,0,1995076,2853200,12013,270913,519744
5930732,413800,0,1875802,2853800,11993,255269,520068
5923761,371800,0,1925713,2853800,11864,238207,522377
5942572,365400,0,1959724,2852400,11900,231444,521704
5882850,366200,0,1915801,2853000,11303,210869,525677
5836717,355200,0,1871529,2855000,13480,219060,522448
5892908,304400,0,1971098,2858000,13488,223226,522696
5833918,315000,0,1893144,2855400,13617,229416,527341
5858390,311800,0,1917339,2857000,13570,223633,535048
5985643,311600,0,2065253,2856400,13467,213407,525516
5939279,309800,0,2008931,2856000,13615,225539,525394
5932205,311200,0,2016829,2855400,13589,208176,527011
5819058,309600,0,1917884,2855000,13508,199826,523240
5816245,318200,0,1920540,2857600,13406,177311,529188
5845688,400800,0,1883287,2856600,13367,155095,536539
5932889,413000,0,1935605,2857600,13449,174792,538443
5928039,406000,0,1936105,2856600,12848,171233,545253
6006703,442400,0,1949904,2857000,12685,176062,568652
6060996,482400,0,1950533,2857400,12526,192627,565510
5999000,488800,0,1911227,2857400,12583,194162,534828
6056762,490600,0,1998005,2857800,12606,183838,513913
6139650,496600,0,2085893,2857000,12637,178682,508838
6162253,560000,0,2040590,2858400,12553,180483,510227
6190165,585000,0,2042358,2858000,11537,174423,518847
6399326,579800,0,2168741,2861000,92800,166955,530030
6635812,584200,0,2280083,2859200,215854,165841,530634
7213208,595200,0,2501050,2862000,544634,160789,549535
7518476,596000,0,2685672,2861200,653155,156576,565873
7597060,601400,0,2744027,2859800,653108,170016,568709
7658898,599600,0,2783530,2862200,704372,153088,556108
7472009,605465,0,2796184,2860800,506504,163600,539456
