Day,Month,Year,Power exchange
1,10,2012,-309630
1,10,2012,-285325
1,10,2012,-402093
1,10,2012,-578210
1,10,2012,-668162
1,10,2012,-607995
1,10,2012,-640626
1,10,2012,-719735
1,10,2012,-879834
1,10,2012,-955804
1,10,2012,-959750
1,10,2012,-1029161
1,10,2012,-1267230
1,10,2012,-1393067
1,10,2012,-1439256
1,10,2012,-1379260
1,10,2012,-1152699
1,10,2012,-1233831
1,10,2012,-1308563
1,10,2012,-1188508
1,10,2012,-567357
1,10,2012,-495082
1,10,2012,-589852
1,10,2012,-622083
1,10,2012,-674540
1,10,2012,-806536
1,10,2012,-746577
1,10,2012,-500128
1,10,2012,-409055
1,10,2012,-527124
1,10,2012,-359249
1,10,2012,-454320
1,10,2012,-410872
1,10,2012,-388503
1,10,2012,-324551
1,10,2012,-297851
1,10,2012,84083
1,10,2012,156650
1,10,2012,185497
1,10,2012,164466
1,10,2012,-341169
1,10,2012,-337001
1,10,2012,-292081
1,10,2012,-248012
1,10,2012,-209312
1,10,2012,-271238
1,10,2012,-280462
1,10,2012,-253384
1,10,2012,-201382
1,10,2012,-39195
1,10,2012,49804
1,10,2012,-28870
1,10,2012,-171178
1,10,2012,-249486
1,10,2012,-223462
1,10,2012,-225769
1,10,2012,-171762
1,10,2012,-212658
1,10,2012,-267509
1,10,2012,-346695
1,10,2012,-413212
1,10,2012,-464478
1,10,2012,-428424
1,10,2012,-391044
1,10,2012,-528945
1,10,2012,-584265
1,10,2012,-656553
1,10,2012,-706854
1,10,2012,-936352
1,10,2012,-1083520
1,10,2012,-1021306
1,10,2012,-1036849
1,10,2012,-829052
1,10,2012,-743744
1,10,2012,-763511
1,10,2012,-739691
1,10,2012,-668717
1,10,2012,-720581
1,10,2012,-810302
1,10,2012,-756850
1,10,2012,-743715
1,10,2012,-650563
1,10,2012,-608872
1,10,2012,-514357
1,10,2012,-944800
1,10,2012,-792045
1,10,2012,-766122
1,10,2012,-794813
1,10,2012,-702271
1,10,2012,-556941
1,10,2012,-502606
1,10,2012,-547070
1,10,2012,-490607
1,10,2012,-533420
1,10,2012,-457235
1,10,2012,-519295
2,10,2012,-635910
2,10,2012,-450082
2,10,2012,-491493
2,10,2012,-559542
2,10,2012,-923044
2,10,2012,-995958
2,10,2012,-997121
2,10,2012,-1064198
2,10,2012,-1093204
2,10,2012,-1072687
2,10,2012,-1172862
2,10,2012,-1090968
2,10,2012,-1328105
2,10,2012,-1377326
2,10,2012,-1392657
2,10,2012,-1450119
2,10,2012,-1344986
2,10,2012,-1465006
2,10,2012,-1454531
2,10,2012,-1462965
2,10,2012,-1005499
2,10,2012,-930492
2,10,2012,-845508
2,10,2012,-882621
2,10,2012,-1058857
2,10,2012,-1137173
2,10,2012,-1164006
2,10,2012,-1100306
2,10,2012,-952991
2,10,2012,-940075
2,10,2012,-954417
2,10,2012,-937494
2,10,2012,-1030302
2,10,2012,-1077897
2,10,2012,-1175716
2,10,2012,-1088251
2,10,2012,-1005457
2,10,2012,-925432
2,10,2012,-980845
2,10,2012,-908475
2,10,2012,-955842
2,10,2012,-881659
2,10,2012,-879780
2,10,2012,-860850
2,10,2012,-1004263
2,10,2012,-1057282
2,10,2012,-976867
2,10,2012,-956720
2,10,2012,-969032
2,10,2012,-1024774
2,10,2012,-1000326
2,10,2012,-1042159
2,10,2012,-1018401
2,10,2012,-984485
2,10,2012,-1032179
2,10,2012,-1065143
2,10,2012,-1024870
2,10,2012,-1026636
2,10,2012,-1107615
2,10,2012,-1129392
2,10,2012,-1097318
2,10,2012,-1117797
2,10,2012,-1127585
2,10,2012,-1184058
2,10,2012,-1262813
2,10,2012,-1323870
2,10,2012,-1257968
2,10,2012,-1320590
2,10,2012,-1179314
2,10,2012,-1167498
2,10,2012,-1221443
2,10,2012,-1215787
2,10,2012,-1168579
2,10,2012,-1218083
2,10,2012,-1166012
2,10,2012,-1190818
2,10,2012,-977630
2,10,2012,-988772
2,10,2012,-1005989
2,10,2012,-884109
2,10,2012,-1204665
2,10,2012,-1136629
2,10,2012,-988972
2,10,2012,-976467
2,10,2012,-916352
2,10,2012,-793307
2,10,2012,-782810
2,10,2012,-686370
2,10,2012,-828091
2,10,2012,-816757
2,10,2012,-784805
2,10,2012,-759771
2,10,2012,-642227
2,10,2012,-728156
2,10,2012,-563049
2,10,2012,-577206
3,10,2012,-853896
3,10,2012,-799203
3,10,2012,-673066
3,10,2012,-691934
3,10,2012,-699379
3,10,2012,-782570
3,10,2012,-756072
3,10,2012,-770750
3,10,2012,-1213783
3,10,2012,-1226699
3,10,2012,-1224511
3,10,2012,-1263718
3,10,2012,-1543410
3,10,2012,-1613177
3,10,2012,-1638373
3,10,2012,-1559899
3,10,2012,-1605053
3,10,2012,-1616533
3,10,2012,-1620790
3,10,2012,-1537553
3,10,2012,-1291296
3,10,2012,-1100711
3,10,2012,-1089976
3,10,2012,-1055730
3,10,2012,-635993
3,10,2012,-570757
3,10,2012,-749735
3,10,2012,-448294
3,10,2012,-532562
3,10,2012,-657453
3,10,2012,-663481
3,10,2012,-557624
3,10,2012,-444380
3,10,2012,-390418
3,10,2012,-443884
3,10,2012,-505147
3,10,2012,-564116
3,10,2012,-648258
3,10,2012,-607928
3,10,2012,-629780
3,10,2012,-854085
3,10,2012,-864931
3,10,2012,-906699
3,10,2012,-859768
3,10,2012,-788527
3,10,2012,-875992
3,10,2012,-889712
3,10,2012,-869851
3,10,2012,-786455
3,10,2012,-724824
3,10,2012,-750259
3,10,2012,-845567
3,10,2012,-1099956
3,10,2012,-1206512
3,10,2012,-1217835
3,10,2012,-1229161
3,10,2012,-1299753
3,10,2012,-1375622
3,10,2012,-1322843
3,10,2012,-1259660
3,10,2012,-1055577
3,10,2012,-997418
3,10,2012,-1090008
3,10,2012,-1112045
3,10,2012,-1213630
3,10,2012,-1243050
3,10,2012,-1143530
3,10,2012,-1130236
3,10,2012,-976714
3,10,2012,-922968
3,10,2012,-935484
3,10,2012,-925952
3,10,2012,-610566
3,10,2012,-585498
3,10,2012,-621635
3,10,2012,-596079
3,10,2012,-420751
3,10,2012,-407982
3,10,2012,-403057
3,10,2012,-309559
3,10,2012,-448609
3,10,2012,-445078
3,10,2012,-459713
3,10,2012,-530284
3,10,2012,-783272
3,10,2012,-904211
3,10,2012,-909284
3,10,2012,-872918
3,10,2012,-702265
3,10,2012,-691474
3,10,2012,-574120
3,10,2012,-556028
3,10,2012,-717062
3,10,2012,-586165
3,10,2012,-585913
3,10,2012,-746098
4,10,2012,-685781
4,10,2012,-607440
4,10,2012,-598497
4,10,2012,-601093
4,10,2012,-826630
4,10,2012,-887356
4,10,2012,-824034
4,10,2012,-874234
4,10,2012,-1258881
4,10,2012,-1479464
4,10,2012,-1415827
4,10,2012,-1499623
4,10,2012,-1726349
4,10,2012,-1820844
4,10,2012,-1851871
4,10,2012,-1867032
4,10,2012,-1850809
4,10,2012,-1906070
4,10,2012,-1873315
4,10,2012,-1858979
4,10,2012,-1527687
4,10,2012,-1556336
4,10,2012,-1515820
4,10,2012,-1478677
4,10,2012,-1281643
4,10,2012,-1242481
4,10,2012,-1318944
4,10,2012,-1205240
4,10,2012,-1087762
4,10,2012,-1065267
4,10,2012,-1143129
4,10,2012,-1025211
4,10,2012,-920669
4,10,2012,-975825
4,10,2012,-995230
4,10,2012,-972138
4,10,2012,-894467
4,10,2012,-943576
4,10,2012,-970279
4,10,2012,-986132
4,10,2012,-1048961
4,10,2012,-970587
4,10,2012,-1040512
4,10,2012,-1047731
4,10,2012,-981027
4,10,2012,-954960
4,10,2012,-1007568
4,10,2012,-907918
4,10,2012,-857584
4,10,2012,-621766
4,10,2012,-787533
4,10,2012,-843228
4,10,2012,-849586
4,10,2012,-785935
4,10,2012,-732491
4,10,2012,-709027
4,10,2012,-630945
4,10,2012,-673525
4,10,2012,-597378
4,10,2012,-555827
4,10,2012,-518350
4,10,2012,-512635
4,10,2012,-440627
4,10,2012,-448664
4,10,2012,-637687
4,10,2012,-738675
4,10,2012,-641086
4,10,2012,-701311
4,10,2012,-701804
4,10,2012,-739861
4,10,2012,-789475
4,10,2012,-816558
4,10,2012,-602424
4,10,2012,-604777
4,10,2012,-590164
4,10,2012,-607058
4,10,2012,-598236
4,10,2012,-676802
4,10,2012,-661121
4,10,2012,-552504
4,10,2012,-675113
4,10,2012,-629485
4,10,2012,-655598
4,10,2012,-675655
4,10,2012,-659277
4,10,2012,-666704
4,10,2012,-504289
4,10,2012,-494797
4,10,2012,-807186
4,10,2012,-788367
4,10,2012,-668351
4,10,2012,-644030
4,10,2012,-811114
4,10,2012,-754490
4,10,2012,-755968
4,10,2012,-714734
5,10,2012,-724072
5,10,2012,-653059
5,10,2012,-826484
5,10,2012,-749712
5,10,2012,-917059
5,10,2012,-830131
5,10,2012,-798380
5,10,2012,-1000719
5,10,2012,-1281283
5,10,2012,-1450025
5,10,2012,-1439606
5,10,2012,-1471668
5,10,2012,-1578975
5,10,2012,-1585449
5,10,2012,-1578393
5,10,2012,-1587445
5,10,2012,-1508735
5,10,2012,-1478820
5,10,2012,-1474978
5,10,2012,-1431737
5,10,2012,-1051931
5,10,2012,-979954
5,10,2012,-1060734
5,10,2012,-976216
5,10,2012,-654260
5,10,2012,-749120
5,10,2012,-692071
5,10,2012,-617684
5,10,2012,-558247
5,10,2012,-543360
5,10,2012,-555510
5,10,2012,-580380
5,10,2012,-711527
5,10,2012,-777063
5,10,2012,-500271
5,10,2012,-312420
5,10,2012,-214031
5,10,2012,-142812
5,10,2012,-91254
5,10,2012,-111873
5,10,2012,105530
5,10,2012,59902
5,10,2012,53868
5,10,2012,31627
5,10,2012,76007
5,10,2012,-8567
5,10,2012,59604
5,10,2012,62196
5,10,2012,-102436
5,10,2012,-9904
5,10,2012,-67453
5,10,2012,-83208
5,10,2012,-256870
5,10,2012,-267826
5,10,2012,-202813
5,10,2012,-333636
5,10,2012,-584656
5,10,2012,-710899
5,10,2012,-719561
5,10,2012,-697381
5,10,2012,-862979
5,10,2012,-789804
5,10,2012,-769029
5,10,2012,-748052
5,10,2012,-950444
5,10,2012,-990525
5,10,2012,-951950
5,10,2012,-992380
5,10,2012,-937950
5,10,2012,-950619
5,10,2012,-970250
5,10,2012,-923533
5,10,2012,-787878
5,10,2012,-801469
5,10,2012,-795330
5,10,2012,-730528
5,10,2012,-948644
5,10,2012,-935160
5,10,2012,-880000
