,ES
2050-01-01 00:00:00,12333.292039856682
2050-01-01 01:00:00,11511.306527595185
2050-01-01 02:00:00,10739.138319107104
2050-01-01 03:00:00,10108.11913797706
2050-01-01 04:00:00,9834.12396722323
2050-01-01 05:00:00,9796.760989393162
2050-01-01 06:00:00,9854.88117712882
2050-01-01 07:00:00,9502.008608733733
2050-01-01 08:00:00,9535.220144582683
2050-01-01 09:00:00,9746.943685619735
2050-01-01 10:00:00,10319.842679014117
2050-01-01 11:00:00,10909.347440332971
2050-01-01 12:00:00,11266.371450709179
2050-01-01 13:00:00,11295.431544577008
2050-01-01 14:00:00,11083.708003539956
2050-01-01 15:00:00,11029.739257785412
2050-01-01 16:00:00,11220.705588916873
2050-01-01 17:00:00,12196.294454479765
2050-01-01 18:00:00,12528.409812969261
2050-01-01 19:00:00,12416.320879479055
2050-01-01 20:00:00,12084.205520989563
2050-01-01 21:00:00,11718.878626651116
2050-01-01 22:00:00,12383.109343630105
2050-01-01 23:00:00,12391.412227592344
2050-01-02 00:00:00,11303.734428539246
2050-01-02 01:00:00,10527.414778070051
2050-01-02 02:00:00,9896.395596940009
2050-01-02 03:00:00,9535.220144582683
2050-01-02 04:00:00,9614.097542223939
2050-01-02 05:00:00,10249.2681653351
2050-01-02 06:00:00,11503.003643632943
2050-01-02 07:00:00,12420.472321460176
2050-01-02 08:00:00,13435.707457942754
2050-01-02 09:00:00,14163.2476651338
2050-01-02 10:00:00,14453.641031713058
2050-01-02 11:00:00,14739.218725594212
2050-01-02 12:00:00,14720.080578061257
2050-01-02 13:00:00,14632.319094580405
2050-01-02 14:00:00,14404.155843298122
2050-01-02 15:00:00,14507.858863986465
2050-01-02 16:00:00,14684.959378900992
2050-01-02 17:00:00,15924.662983302656
2050-01-02 18:00:00,16004.412183759945
2050-01-02 19:00:00,15327.934712936654
2050-01-02 20:00:00,14466.385958595092
2050-01-02 21:00:00,13722.904214196547
2050-01-02 22:00:00,14212.691339128927
2050-01-02 23:00:00,14112.184928766044
2050-01-03 00:00:00,12933.133891708523
2050-01-03 01:00:00,11830.967560141322
2050-01-03 02:00:00,11361.854616274908
2050-01-03 03:00:00,10946.710418163038
2050-01-03 04:00:00,10996.527721936462
2050-01-03 05:00:00,11556.972389387487
2050-01-03 06:00:00,12719.33462968091
2050-01-03 07:00:00,13619.201193508201
2050-01-03 08:00:00,14581.256358212646
2050-01-03 09:00:00,14978.549355805702
2050-01-03 10:00:00,15043.934567008324
2050-01-03 11:00:00,15123.725281885425
2050-01-03 12:00:00,15094.997303376083
2050-01-03 13:00:00,14900.336188881429
2050-01-03 14:00:00,14600.394505745604
2050-01-03 15:00:00,14555.724990028764
2050-01-03 16:00:00,14925.867557065307
2050-01-03 17:00:00,16061.868140778632
2050-01-03 18:00:00,16049.081699476781
2050-01-03 19:00:00,15441.227564601384
2050-01-03 20:00:00,14600.394505745604
2050-01-03 21:00:00,13783.515267120874
2050-01-03 22:00:00,14225.47778043077
2050-01-03 23:00:00,14230.251938709058
2050-01-04 00:00:00,13087.89964876463
2050-01-04 01:00:00,12113.265614857391
2050-01-04 02:00:00,11370.157500237146
2050-01-04 03:00:00,11067.102235615479
2050-01-04 04:00:00,10942.558976181921
2050-01-04 05:00:00,10934.256092219683
2050-01-04 06:00:00,11378.460384199385
2050-01-04 07:00:00,11718.878626651116
2050-01-04 08:00:00,12598.984326648282
2050-01-04 09:00:00,13285.715859164935
2050-01-04 10:00:00,13786.711877446338
2050-01-04 11:00:00,14271.724844100438
2050-01-04 12:00:00,14348.318948652075
2050-01-04 13:00:00,14207.91718085064
2050-01-04 14:00:00,13794.682646050089
2050-01-04 15:00:00,13633.565182762872
2050-01-04 16:00:00,13868.080140276263
2050-01-04 17:00:00,15018.403198824442
2050-01-04 18:00:00,15221.035081922848
2050-01-04 19:00:00,14669.017841693494
2050-01-04 20:00:00,13904.778887389355
2050-01-04 21:00:00,13185.209448802052
2050-01-04 22:00:00,13458.042215801172
2050-01-04 23:00:00,13446.87483687196
2050-01-05 00:00:00,12499.349719101432
2050-01-05 01:00:00,11644.152670990981
2050-01-05 02:00:00,10955.013302125277
2050-01-05 03:00:00,10664.412363446965
2050-01-05 04:00:00,10593.837849767951
2050-01-05 05:00:00,10593.837849767951
2050-01-05 06:00:00,10901.044556370733
2050-01-05 07:00:00,10938.4075342008
2050-01-05 08:00:00,11561.123831368604
2050-01-05 09:00:00,12117.417056838513
2050-01-05 10:00:00,12740.091839586505
2050-01-05 11:00:00,13408.598541806045
2050-01-05 12:00:00,13742.042361729502
