,LV_P2HT_OTH,LV_STUR_BIO_CHP,LV_COMC_GAS_CHP
2016-01-01 00:00:00,296.9712027131689,525.922712431502,240.9977646782798
2016-01-01 01:00:00,316.6742244558148,560.8158823527539,256.987140597572
2016-01-01 02:00:00,361.7837742350303,640.7028766461466,293.5943959917411
2016-01-01 03:00:00,486.0942864139605,860.8512316098352,394.47473485096
2016-01-01 04:00:00,579.0355139763096,1025.4459870936355,469.89830415446346
2016-01-01 05:00:00,554.6659870840899,982.2886453489291,450.121970780602
2016-01-01 06:00:00,547.7958545027725,970.1219479421769,444.5467278613752
2016-01-01 07:00:00,527.3150819018642,933.8514160503491,427.9261923663214
2016-01-01 08:00:00,505.5380578705189,895.2852808742284,410.2537242449983
2016-01-01 09:00:00,487.00166241526654,862.4581539088401,395.2110876893484
2016-01-01 10:00:00,476.1131503995938,843.1750863207799,386.37485362868694
2016-01-01 11:00:00,464.96538809783357,823.4328980758609,377.32823304277156
2016-01-01 12:00:00,470.1503938195825,832.6153112130326,381.5359635478485
2016-01-01 13:00:00,474.03914811089425,839.5021210659112,384.69176142665617
2016-01-01 14:00:00,492.18666813701543,871.6405670460118,399.4188181944254
2016-01-01 15:00:00,503.59368072486313,891.8418759477892,408.6758253055945
2016-01-01 16:00:00,502.55667958051333,890.0053933203549,407.83427920457916
2016-01-01 17:00:00,497.24204871572067,880.593419854754,403.5213554368753
2016-01-01 18:00:00,480.26115497699294,850.5210168305172,389.74103803274846
2016-01-01 19:00:00,433.466478338209,767.6497382675435,351.7662702244293
2016-01-01 20:00:00,355.1728919398004,628.9952998962528,288.22953959776805
2016-01-01 21:00:00,295.93420156881916,524.0862298040676,240.1562185772644
2016-01-01 22:00:00,316.4149741697273,560.3567616958953,256.77675407231817
2016-01-01 23:00:00,321.85923017756375,569.9982954899256,261.19487110264896
2016-01-02 00:00:00,329.7663639032308,584.0014755241122,267.61166012289124
2016-01-02 01:00:00,349.72863593196405,619.3537661022227,283.8114225674373
2016-01-02 02:00:00,397.43068857205407,703.8319669642012,322.5225432141449
2016-01-02 03:00:00,532.111212194482,942.3451482022328,431.8183430835175
2016-01-02 04:00:00,645.4035872146958,1142.9808752494318,523.757254619448
2016-01-02 05:00:00,614.8120534563773,1088.8046377401197,498.9316446394942
2016-01-02 06:00:00,606.516044301579,1074.1127767206451,492.19927583137115
2016-01-02 07:00:00,584.3501448411024,1034.8579605592365,474.2112279221674
2016-01-02 08:00:00,561.147244236276,993.7666617703936,455.38163391194814
2016-01-02 09:00:00,540.536846492324,957.2665695501366,438.65590515426743
2016-01-02 10:00:00,528.2224579031704,935.4583383493542,428.66254520470983
2016-01-02 11:00:00,514.7414430266233,911.5840641927081,417.7224458915099
2016-01-02 12:00:00,520.9634498927219,922.602959957314,422.7717224976022
2016-01-02 13:00:00,525.7595801853397,931.0966921091976,426.6638732147983
2016-01-02 14:00:00,546.3699779292915,967.5967843294546,443.389601972479
2016-01-02 15:00:00,556.7399893727894,985.9616106037979,451.8050629826328
2016-01-02 16:00:00,557.906615660183,988.0276535596615,452.75180234627516
2016-01-02 17:00:00,550.5179825066907,974.9427148391919,446.7557863765405
2016-01-02 18:00:00,531.3334613362198,940.9677862316572,431.187183507756
2016-01-02 19:00:00,480.90928069221155,851.6688184726635,390.26700434588304
2016-01-02 20:00:00,396.9121879998792,702.9137256504841,322.1017701636372
2016-01-02 21:00:00,331.5811159058429,587.2153201221222,269.08436579966815
2016-01-02 22:00:00,336.2476210554169,595.4794919455766,272.8713232542374
2016-01-02 23:00:00,341.0437513480347,603.9732240974603,276.7634739714335
2016-01-03 00:00:00,347.0065079280459,614.5329992052077,281.602364052272
2016-01-03 01:00:00,365.8021536693857,647.8192468274545,296.8553871331757
2016-01-03 02:00:00,414.800457739913,734.593050973726,336.6184404061525
2016-01-03 03:00:00,558.6843665184452,989.405015530237,453.3829619220366
2016-01-03 04:00:00,680.0135004073697,1204.2734829400522,551.8438557408363
2016-01-03 05:00:00,638.9223300625097,1131.5028588279672,518.4975914881018
2016-01-03 06:00:00,617.9230568894266,1094.3140856224225,501.4562829425403
2016-01-03 07:00:00,598.8681608619994,1060.568717343317,485.99287333638273
2016-01-03 08:00:00,575.1467596849981,1018.559177240757,466.74250627565584
2016-01-03 09:00:00,557.388115088008,987.1094122459443,452.33102929576745
2016-01-03 10:00:00,543.9071002114608,963.2351380892982,441.39092998256746
2016-01-03 11:00:00,531.203836193176,940.7382259032278,431.081990245129
2016-01-03 12:00:00,532.6297127666569,943.26338951595,432.2391161340252
2016-01-03 13:00:00,536.5184670579687,950.1501993688287,435.3949140128329
2016-01-03 14:00:00,562.054620237582,995.3735840693986,456.11798675033657
2016-01-03 15:00:00,576.8318865445665,1021.5434615103376,468.11001868980577
2016-01-03 16:00:00,575.1467596849981,1018.559177240757,466.74250627565584
2016-01-03 17:00:00,570.9987551075989,1011.2132467310196,463.37632187159426
2016-01-03 18:00:00,555.7029882284396,984.1251279763636,450.96351688161747
2016-01-03 19:00:00,507.09355958704356,898.04000481538,411.51604339652147
2016-01-03 20:00:00,423.0964668947112,749.2849119932004,343.3508092142755
2016-01-03 21:00:00,352.0618885067511,623.4858520139499,285.70490129472194
2016-01-03 22:00:00,404.04157086728395,715.5395437140949,327.8873996081179
2016-01-03 23:00:00,401.57869314945316,711.1778974739385,325.8887276182064
2016-01-04 00:00:00,405.4674474407649,718.064707326817,329.044525497014
2016-01-04 01:00:00,418.42996174513723,741.0207401697461,339.5638517597063
2016-01-04 02:00:00,452.1324989365051,800.7064255613614,366.91410004270625
2016-01-04 03:00:00,605.0901677280981,1071.5876131079228,491.04214994247496
2016-01-04 04:00:00,763.3624673844836,1351.880774120085,619.4831236099475
2016-01-04 05:00:00,694.1426409991357,1229.2955587388446,563.3099213671709
2016-01-04 06:00:00,659.9216032355927,1168.691632033512,535.5389000336631
2016-01-04 07:00:00,633.7373243407607,1122.3204456907956,514.2898609830248
2016-01-04 08:00:00,610.5344237359344,1081.2291469019528,495.4602669728057
2016-01-04 09:00:00,597.4422842885183,1058.0435537305948,484.83574744748654
2016-01-04 10:00:00,576.572636258479,1021.0843408534789,467.8996321645519
2016-01-04 11:00:00,568.7951276758557,1007.3107211477217,461.58803640693657
2016-01-04 12:00:00,564.9063733845439,1000.4239112948432,458.432238528129
2016-01-04 13:00:00,584.3501448411024,1034.8579605592365,474.2112279221674
2016-01-04 14:00:00,616.2379300298581,1091.3298013528415,500.0887705283903
2016-01-04 15:00:00,637.3668283459849,1128.748134886816,517.2352723365788
2016-01-04 16:00:00,627.7745677607495,1111.7606705830485,509.45097090218644
2016-01-04 17:00:00,630.1078203355364,1115.8927564947755,511.344449629471
2016-01-04 18:00:00,620.6451848933448,1099.1348525194376,503.6653414577058
2016-01-04 19:00:00,583.57239398284,1033.4805985886608,473.5800683464058
2016-01-04 20:00:00,499.70492643355124,884.9550660949105,405.52002742678684
2016-01-04 21:00:00,421.67059032123024,746.7597483804783,342.19368332537937
2016-01-04 22:00:00,429.4480989038536,760.5333680862357,348.5052790829948
2016-01-04 23:00:00,428.92959833167873,759.6151267725186,348.08450603248707
2016-01-05 00:00:00,434.76272976864624,769.9453415518366,352.81820285069864
2016-01-05 01:00:00,455.1138772265107,805.9863131152348,369.3335450831254
2016-01-05 02:00:00,489.85341556222835,867.5084811342845,397.52533946714067
2016-01-05 03:00:00,637.6260786320724,1129.2072555436746,517.4456588618326
2016-01-05 04:00:00,833.3600446280938,1475.843351471901,676.2874854284856
2016-01-05 05:00:00,771.0103508240633,1365.4248334974131,625.689526104936
2016-01-05 06:00:00,740.2891919227009,1311.0190356596715,600.7587228623553
2016-01-05 07:00:00,707.494030732639,1252.9402725670614,574.1448274177438
2016-01-05 08:00:00,679.1061244060637,1202.6665606410472,551.1075029024479
2016-01-05 09:00:00,655.1254729429751,1160.1978998816285,531.6467493164671
2016-01-05 10:00:00,632.8299483394546,1120.7135233917907,513.5535081446363
2016-01-05 11:00:00,623.1080626111756,1103.496498759594,505.6640134476172
2016-01-05 12:00:00,616.8860557450768,1092.477602994988,500.61473684152486
2016-01-05 13:00:00,636.7187026307664,1127.6003332446694,516.7093060234441
2016-01-05 14:00:00,667.8287369612598,1182.6948120676989,541.9556890539055
2016-01-05 15:00:00,688.5687598482555,1219.424464616385,558.786611074213
2016-01-05 16:00:00,674.9581198286646,1195.3206301313096,547.7413184983861
2016-01-05 17:00:00,673.5322432551836,1192.7954665185875,546.5841926094902
2016-01-05 18:00:00,657.8476009468933,1165.0186667786436,533.8558078316325
2016-01-05 19:00:00,614.6824283133335,1088.5750774116902,498.8264513768672
2016-01-05 20:00:00,536.9073424870998,950.8388803541164,435.7104938007136
2016-01-05 21:00:00,447.20674350084363,791.9831330810483,362.91675606288317
2016-01-05 22:00:00,390.04205541856186,690.7470282437317,316.52652724441026
2016-01-05 23:00:00,389.78280513247444,690.2879075868731,316.3161407191564
2016-01-06 00:00:00,394.8381857111796,699.2407603956154,320.4186779616064
2016-01-06 01:00:00,413.76345659556307,732.7565683462916,335.7768943051371
2016-01-06 02:00:00,446.4289926425813,790.6057711104726,362.2855964871216
2016-01-06 03:00:00,586.1648968437145,1038.0718051572464,475.6839335989442
2016-01-06 04:00:00,769.1955988214511,1362.2109888994032,624.216820428159
2016-01-06 05:00:00,708.4014067339451,1254.5471948660663,574.8811802561322
2016-01-06 06:00:00,682.2171278391131,1208.1760085233498,553.6321412054939
2016-01-06 07:00:00,648.9034660768763,1149.1790041170225,526.5974727103747
2016-01-06 08:00:00,623.4969380403068,1104.185179744882,505.979593235498
2016-01-06 09:00:00,600.423662578524,1063.3234412844683,487.25519248790573
2016-01-06 10:00:00,580.5910156928344,1028.200711034787,471.1606233059865
2016-01-06 11:00:00,569.7025036771616,1008.9176434467266,462.324389245325
2016-01-06 12:00:00,566.4618751010687,1003.1786352359944,459.69455767965195
2016-01-06 13:00:00,585.3871459854522,1036.6944431866707,475.05277402318274
2016-01-06 14:00:00,612.9973014537652,1085.5907931421095,497.45893896271724
2016-01-06 15:00:00,631.27444662293,1117.9587994506392,512.2911889931133
2016-01-06 16:00:00,617.2749311742081,1093.166283980276,500.9303166294057
2016-01-06 17:00:00,618.8304328907327,1095.9210079214274,502.1926357809288
2016-01-06 18:00:00,604.8309174420106,1071.1284924510642,490.8317634172211
2016-01-06 19:00:00,560.3694933780137,992.3892997998179,454.7504743361866
2016-01-06 20:00:00,486.7424121291791,861.9990332519815,395.00070116409455
2016-01-06 21:00:00,405.33782229772123,717.8351469983879,328.93933223438717
2016-01-06 22:00:00,341.1733764910784,604.2027844258896,276.8686672340604
2016-01-06 23:00:00,347.2657582141334,614.9921198620663,281.8127505775258
2016-01-07 00:00:00,354.2655159384944,627.3883775972478,287.49318675937957
2016-01-07 01:00:00,376.0425399698398,665.9545127733685,305.1656548807026
2016-01-07 02:00:00,422.4483411794926,748.137110351054,342.8248429011409
2016-01-07 03:00:00,562.9619962388881,996.9805063684037,456.85433958872505
2016-01-07 04:00:00,687.402133560862,1217.3584216605216,557.8398717105708
2016-01-07 05:00:00,651.8848443668819,1154.458891670896,529.0169177507939
2016-01-07 06:00:00,639.9593312068594,1133.3393414554014,519.3391375891171
2016-01-07 07:00:00,614.0343025981149,1087.4272757695437,498.3004850637326
2016-01-07 08:00:00,589.4055254198076,1043.8108133679789,478.31376516461734
2016-01-07 09:00:00,567.4988762454185,1005.0151178634289,460.5361037806674
2016-01-07 10:00:00,553.62898593974,980.4521627214948,449.28042467958664
2016-01-07 11:00:00,541.1849722075426,958.4143711922832,439.1818714674021
2016-01-07 12:00:00,544.9441013558106,965.0716207167326,442.23247608358287
2016-01-07 13:00:00,553.240110510609,979.7634817362069,448.96484489170587
2016-01-07 14:00:00,575.1467596849981,1018.559177240757,466.74250627565584
2016-01-07 15:00:00,589.4055254198076,1043.8108133679789,478.31376516461734
2016-01-07 16:00:00,585.1278956993648,1036.235322529812,474.8423874979288
2016-01-07 17:00:00,580.7206408358782,1028.4302713632164,471.26581656861356
2016-01-07 18:00:00,562.1842453806258,995.6031443978278,456.2231800129635
2016-01-07 19:00:00,510.98231387835517,904.9268146682587,414.6718412753291
2016-01-07 20:00:00,425.9482200416731,754.3352392186449,345.6650609920679
2016-01-07 21:00:00,355.69139251197544,629.91354120997,288.65031264827576
2016-01-07 22:00:00,355.1728919398004,628.9952998962528,288.22953959776805
2016-01-07 23:00:00,360.61714794763685,638.6368336902831,292.64765662809884
2016-01-08 00:00:00,367.35765538591045,650.5739707686062,298.11770628469884
2016-01-08 01:00:00,388.8754291311684,688.6809852878682,315.57978788076804
2016-01-08 02:00:00,434.2442291964714,769.0271002381195,352.39742980019093
2016-01-08 03:00:00,576.8318865445665,1021.5434615103376,468.11001868980577
2016-01-08 04:00:00,712.5494113113442,1261.8931253758035,578.2473646601937
2016-01-08 05:00:00,672.3656169677902,1190.729423562724,545.6374532458478
2016-01-08 06:00:00,658.4957266621119,1166.16646842079,534.3817741447671
2016-01-08 07:00:00,631.0151963368426,1117.4996787937805,512.0808024678595
2016-01-08 08:00:00,605.6086683002729,1072.5058544216402,491.4629229929827
2016-01-08 09:00:00,583.1835185537088,1032.791917603373,473.26448855852504
2016-01-08 10:00:00,567.7581265315059,1005.4742385202876,460.74649030592127
2016-01-08 11:00:00,555.573363085396,983.8955676479344,450.85832361899054
2016-01-08 12:00:00,558.4251162323577,988.9458948733786,453.1725753967828
2016-01-08 13:00:00,568.4062522467244,1006.6220401624339,461.27245661905584
2016-01-08 14:00:00,591.7387779945947,1047.9428992797061,480.207243891902
2016-01-08 15:00:00,606.516044301579,1074.1127767206451,492.19927583137115
2016-01-08 16:00:00,600.6829128646115,1063.782561941327,487.46557901315964
2016-01-08 17:00:00,597.1830340024309,1057.5844330737361,484.6253609222327
2016-01-08 18:00:00,579.0355139763096,1025.4459870936355,469.89830415446346
2016-01-08 19:00:00,527.7039573309955,934.540097035637,428.2417721542021
2016-01-08 20:00:00,443.0587389234445,784.6372025713111,359.5505716588217
2016-01-08 21:00:00,369.8205331037411,654.9356170087625,300.1163782746103
2016-01-08 22:00:00,281.28656040487846,498.1459126915579,228.26937990042214
2016-01-08 23:00:00,287.119691841846,508.476127470876,233.0030767186337
2016-01-09 00:00:00,294.5083249953382,521.5610661913455,238.99909268836828
2016-01-09 01:00:00,313.04472045059055,554.3881931567338,254.04172924401817
2016-01-09 02:00:00,358.67277080198096,635.1934287638437,291.069757688695
2016-01-09 03:00:00,483.6314086961297,856.4895853696786,392.47606286104843
2016-01-09 04:00:00,582.7946431245776,1032.1032366180848,472.9489087706442
2016-01-09 05:00:00,557.1288648019205,986.6502915890858,452.1206427705136
2016-01-09 06:00:00,548.8328556471223,971.9584305696112,445.38827396239054
2016-01-09 07:00:00,529.1298339044765,937.0652606483592,429.39889804309826
2016-01-09 08:00:00,507.871310445306,899.4173667859558,412.14720297228297
2016-01-09 09:00:00,489.2052898470098,866.360679492138,396.9993731540061
2016-01-09 10:00:00,478.31677783133716,847.0776119040777,388.16313909334457
2016-01-09 11:00:00,466.0023892421835,825.2693807032953,378.16977914378697
2016-01-09 12:00:00,471.96514582219464,835.8291558110426,383.0086692246254
2016-01-09 13:00:00,475.59464982741895,842.2568450070627,385.95408057817923
2016-01-09 14:00:00,494.3902955687587,875.5430926293096,401.207103659083
2016-01-09 15:00:00,504.2418064400817,892.9896775899357,409.20179161872915
2016-01-09 16:00:00,505.79730815660633,895.744401531087,410.46411077025215
2016-01-09 17:00:00,499.05680071833274,883.8072644527641,404.99406111365226
2016-01-09 18:00:00,481.6870315504739,853.0461804432392,390.8981639216446
2016-01-09 19:00:00,434.89235491169,770.1749018802658,352.9233961133255
