,UK_P2HT_OTH,UK_STUR_BIO_CHP,UK_COMC_GAS_CHP
2016-01-01 00:00:00,13574.503842649938,799.3982085435425,84.77809167889427
2016-01-01 01:00:00,14472.938481390356,852.3067383158066,90.38916778550802
2016-01-01 02:00:00,14759.524028311243,869.1836699118794,92.17900674038523
2016-01-01 03:00:00,16603.17526525089,977.7557041513959,103.69333060820063
2016-01-01 04:00:00,21022.412805623506,1238.0031956142295,131.2931994278173
2016-01-01 05:00:00,29356.600465115924,1728.8008528907662,183.34346466444546
2016-01-01 06:00:00,35280.227945880455,2077.641388875915,220.33883771506277
2016-01-01 07:00:00,34130.20213934187,2009.916735350286,213.15647625346043
2016-01-01 08:00:00,32534.82681323086,1915.9655904369301,203.19273266274945
2016-01-01 09:00:00,30094.06095989178,1772.2296665865729,187.9491942115716
2016-01-01 10:00:00,28139.164433530394,1657.1064326786575,175.74009995253135
2016-01-01 11:00:00,26739.020906735677,1574.6524262562,166.99565539277788
2016-01-01 12:00:00,26094.38760710643,1536.6901765221032,162.96966802640884
2016-01-01 13:00:00,25769.124062207786,1517.5355099419844,160.93826982954948
2016-01-01 14:00:00,26049.447457075126,1534.043665397783,162.68899919286767
2016-01-01 15:00:00,26713.235574750503,1573.133936266836,166.8346158981231
2016-01-01 16:00:00,27960.140557176223,1646.563773609646,174.62202574678548
2016-01-01 17:00:00,29401.908977032712,1731.4690567292198,183.62643406219595
2016-01-01 18:00:00,29980.237137271528,1765.526617919238,187.2383198708813
2016-01-01 19:00:00,30280.452073956007,1783.20617993826,189.11327970150458
2016-01-01 20:00:00,29428.062670903393,1733.0092394327175,183.78977412106008
2016-01-01 21:00:00,26364.028507294206,1552.5692432680223,164.65368102765575
2016-01-01 22:00:00,19876.43897982546,1170.5171619440725,124.13614417251787
2016-01-01 23:00:00,15213.345871250234,895.9090937246833,95.013301846309
2016-01-02 00:00:00,15954.489984881116,939.5548345618279,99.64203703552873
2016-01-02 01:00:00,17025.686347922176,1002.6372472628298,106.33207775632937
2016-01-02 02:00:00,17368.631263324933,1022.8331641213692,108.4739030352377
2016-01-02 03:00:00,19530.915531224182,1150.1693960865966,121.97821494414409
2016-01-02 04:00:00,24691.29718522768,1454.0626283865745,154.20681895298046
2016-01-02 05:00:00,34394.68597313261,2025.492104098333,214.80828135577642
2016-01-02 06:00:00,41320.25778246374,2433.336822527335,258.0611890558359
2016-01-02 07:00:00,39994.89171842601,2355.2864370740317,249.78375903058117
2016-01-02 08:00:00,38132.82238721124,2245.629767127826,238.15440695229805
2016-01-02 09:00:00,35259.23131840681,2076.4049041702897,220.2077055551296
2016-01-02 10:00:00,32974.650904520764,1941.8666911126509,205.93960632871776
2016-01-02 11:00:00,31330.28344763793,1845.0304152195035,195.66988769816274
2016-01-02 12:00:00,30596.138209831588,1801.796835950901,191.08486322892077
2016-01-02 13:00:00,30188.361602580404,1777.783001404818,188.53813864916617
2016-01-02 14:00:00,30539.410479464215,1798.4561579743004,190.73057634068027
2016-01-02 15:00:00,31320.33767672936,1844.444711937892,195.6077724645102
2016-01-02 16:00:00,32758.790839616337,1929.1547606302618,204.59147570203646
2016-01-02 17:00:00,34445.519913331955,2028.4856986487932,215.12575921666726
2016-01-02 18:00:00,35106.361135923304,2067.4024278047755,219.25297140824782
2016-01-02 19:00:00,35441.57045173051,2087.142797666506,221.34648483875972
2016-01-02 20:00:00,34435.57414242338,2027.8999953671812,215.06364398301469
2016-01-02 21:00:00,30853.991529683288,1816.9817358445393,192.69525817546835
2016-01-02 22:00:00,23253.212384226208,1369.3742724083384,145.22541627966353
2016-01-02 23:00:00,17851.55369521862,1051.272312350741,111.48994271370042
2016-01-03 00:00:00,21990.836202609393,1295.0333410719097,137.34138273420828
2016-01-03 01:00:00,22954.102533198235,1351.759788531717,143.35735814166827
2016-01-03 02:00:00,23493.38433357379,1383.5179220235561,146.72538414416215
2016-01-03 03:00:00,25351.770045933536,1492.9576648284235,158.33173058035172
2016-01-03 04:00:00,29667.49789647997,1747.1095036196677,185.28514085714002
2016-01-03 05:00:00,41055.037224902,2417.71806835102,256.40478282510117
2016-01-03 06:00:00,48831.52498974373,2875.6729564290295,304.97199384876774
2016-01-03 07:00:00,47173.89650498282,2778.055742827067,294.619454906676
2016-01-03 08:00:00,45639.669251865205,2687.7055884599163,285.0376049747177
2016-01-03 09:00:00,43833.590927246805,2581.346211062044,273.75793865625633
2016-01-03 10:00:00,41810.915813952975,2462.2315177535156,261.12554058269507
2016-01-03 11:00:00,40066.722286098986,2359.5165163301167,250.23236905140516
2016-01-03 12:00:00,39041.20279686023,2299.1240001817023,243.82759829256435
2016-01-03 13:00:00,38766.77319216092,2282.962928152044,242.1136779565958
2016-01-03 14:00:00,39116.34862150272,2303.5493138649913,244.2969133912725
2016-01-03 15:00:00,39833.91757446145,2345.8067209975743,248.7784124710936
2016-01-03 16:00:00,41486.02063093983,2443.0985438875305,259.096442950045
2016-01-03 17:00:00,42672.14590225765,2512.9490833982686,266.50425970416404
2016-01-03 18:00:00,42833.12004622222,2522.428799474726,267.5096062636516
2016-01-03 19:00:00,42527.7480431407,2504.4455394578313,265.6024385340974
2016-01-03 20:00:00,41245.48031970675,2428.933201558179,257.59417452133704
2016-01-03 21:00:00,37230.3357677303,2192.482617500091,232.5180246393814
2016-01-03 22:00:00,29156.948323173605,1717.043401830263,182.0965588629757
2016-01-03 23:00:00,23556.742577880203,1387.249068854564,147.12108118817096
2016-01-04 00:00:00,21261.84803120009,1252.1034598011797,132.78856616389723
2016-01-04 01:00:00,22179.43748798663,1306.1400107084,138.5192716093974
2016-01-04 02:00:00,22757.02892445444,1340.1541864701508,142.12655628966405
2016-01-04 03:00:00,24366.770364100048,1434.9513472347235,152.18002188453983
2016-01-04 04:00:00,28529.996394048474,1680.1224023745872,178.18099857865568
2016-01-04 05:00:00,39596.69252019789,2331.8366130954264,247.29684912026977
2016-01-04 06:00:00,47659.76583196052,2806.6684327695093,297.65389909881355
2016-01-04 07:00:00,46006.557689825626,2709.311531737151,287.32896692723403
2016-01-04 08:00:00,44415.97106822614,2615.6423921075343,277.39513067124466
2016-01-04 09:00:00,42648.939103471,2511.5824424078414,266.35932415897474
2016-01-04 10:00:00,40797.1839050503,2402.5331684573816,254.79438787855358
2016-01-04 11:00:00,39128.8729256098,2304.2868661455395,244.37513257439056
2016-01-04 12:00:00,38030.049421156065,2239.577499884505,237.5125495378884
2016-01-04 13:00:00,37679.36890615776,2218.926036029156,235.3224124105836
2016-01-04 14:00:00,38037.04829698061,2239.989661453046,237.5562602578661
2016-01-04 15:00:00,38708.572014251535,2279.535479318908,241.75018881151792
2016-01-04 16:00:00,40324.94396783618,2374.7231089378893,251.8450645621621
2016-01-04 17:00:00,41457.288403870654,2441.4065121850967,258.91699894171546
2016-01-04 18:00:00,41706.669400355786,2456.0924796536588,260.4744809114479
2016-01-04 19:00:00,41428.55617680146,2439.7144804826626,258.73755493338587
2016-01-04 20:00:00,40086.982189801616,2360.7096156074736,250.35890008291955
2016-01-04 21:00:00,36242.020828927285,2134.281065479187,226.34561086568536
2016-01-04 22:00:00,28443.7997128409,1675.046307267285,177.6426665536669
2016-01-04 23:00:00,22883.008689296264,1347.5730947038996,142.913349249263
2016-01-05 00:00:00,18330.42414637177,1079.4728407246416,114.48067618586029
2016-01-05 01:00:00,18927.907124656707,1114.6584230496157,118.212191333432
2016-01-05 02:00:00,19474.924524627815,1146.8721035382637,121.62852918432232
2016-01-05 03:00:00,21262.584754971092,1252.1468452294473,132.79316729231596
2016-01-05 04:00:00,25645.722830564475,1510.2684507071717,160.167580819416
2016-01-05 05:00:00,36073.67944725268,2124.367495120054,225.29425302201068
2016-01-05 06:00:00,43170.53953334243,2542.299325621259,269.6169230794197
2016-01-05 07:00:00,41137.91864914005,2422.5989290311186,256.92240977220575
2016-01-05 08:00:00,39400.3556352251,2320.2743964621277,246.07064839668425
2016-01-05 09:00:00,37342.31778092303,2199.0772025967567,233.21739615902496
2016-01-05 10:00:00,35344.322913957876,2081.4159211351907,220.7391358874903
2016-01-05 11:00:00,34197.244002503314,2013.8648093226323,213.57517893956282
2016-01-05 12:00:00,33127.521087004265,1950.8691674781653,206.89434047559956
2016-01-05 13:00:00,32366.11706967075,1906.0303273636637,202.13907425486542
2016-01-05 14:00:00,32444.94651316827,1910.6725681882901,202.6313949956671
2016-01-05 15:00:00,33275.970926861744,1959.6113312740745,207.82146785196915
2016-01-05 16:00:00,34967.48870508889,2059.2242745763447,218.3856587013215
2016-01-05 17:00:00,36612.22452385723,2156.0822431836255,228.65767789608586
2016-01-05 18:00:00,37222.23180624924,2192.005377789148,232.46741222677562
2016-01-05 19:00:00,37045.049739322574,2181.571182290805,231.3608408420765
2016-01-05 20:00:00,35943.647701670314,2116.7099670308335,224.48215385610882
2016-01-05 21:00:00,32618.07659935441,1920.8681438311617,203.71266017406333
2016-01-05 22:00:00,25450.491031248184,1498.7713122162736,158.9482817884585
2016-01-05 23:00:00,20086.03689267634,1182.8603162861873,125.44516520764014
2016-01-06 00:00:00,19178.39320679836,1129.4094686605793,119.77657499579257
2016-01-06 01:00:00,20083.826721363326,1182.7301600013848,125.43136182238403
2016-01-06 02:00:00,20095.614301699403,1183.4243268536654,125.50497987708334
2016-01-06 03:00:00,22067.823836679396,1299.5671183258676,137.8222006539632
2016-01-06 04:00:00,27005.34654995393,1590.336258574915,168.6589633161406
2016-01-06 05:00:00,37685.99942009681,2219.316504883564,235.36382256635198
2016-01-06 06:00:00,42379.66656516873,2495.7250683760562,264.67761172193724
2016-01-06 07:00:00,40056.03979141942,2358.8874276202373,250.16565268933388
2016-01-06 08:00:00,38567.48941210411,2271.2271698056743,240.86907271933546
2016-01-06 09:00:00,36907.28239414467,2173.4581072047754,230.50042982777822
2016-01-06 10:00:00,35125.14759208392,2068.5087562255976,219.37030018292484
2016-01-06 11:00:00,34063.52863806593,2005.9903540920739,212.7400741315674
2016-01-06 12:00:00,33154.04314276044,1952.431042895797,207.05998109867306
2016-01-06 13:00:00,32828.04287409079,1933.2329908874108,205.02398177339498
2016-01-06 14:00:00,33460.88859338396,1970.5010737692269,208.9763510850647
2016-01-06 15:00:00,34175.142289373165,2012.5632464746063,213.4371450870016
2016-01-06 16:00:00,35591.49373913,2095.9717323189498,222.28281447196667
2016-01-06 17:00:00,37338.63416206801,2198.860275455419,233.19439051693138
2016-01-06 18:00:00,37854.3408017714,2229.230075242697,236.41518041002664
2016-01-06 19:00:00,37707.36440945594,2220.5746823033223,235.49725529049448
2016-01-06 20:00:00,36760.3060018292,2164.802714265401,229.58250470824606
2016-01-06 21:00:00,33302.49298261792,1961.173206691706,207.9871084750426
2016-01-06 22:00:00,26106.91191121351,1537.4277288026512,163.04788720952686
2016-01-06 23:00:00,21093.50664952548,1242.1898894420472,131.7372083202226
2016-01-07 00:00:00,16515.505136501317,972.592838187559,103.14579632637445
2016-01-07 01:00:00,17572.335386007777,1034.8292350373438,109.7461150430103
2016-01-07 02:00:00,17943.644166594222,1056.6954908841835,112.06508376603887
